isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST EAST 230 0
true false EAST NORTH 229 10
true false NORTH WEST 229 10
true false WEST WEST 229 10
true false WEST SOUTH 228 20
true false SOUTH NORTH 228 20
true false NORTH NORTH 228 20
true false NORTH EAST 228 20
true false EAST SOUTH 228 20
true false SOUTH NORTH 227 30
true false NORTH NORTH 227 30
true false NORTH WEST 227 30
true false WEST NORTH 227 30
true false NORTH SOUTH 227 30
true false SOUTH EAST 227 30
true false EAST SOUTH 227 30
true false SOUTH NORTH 227 30
true false NORTH EAST 227 30
true false EAST WEST 227 30
true false WEST NORTH 227 30
true false NORTH EAST 227 30
true false EAST NORTH 227 30
true false NORTH EAST 227 30
true false EAST SOUTH 226 40
true false SOUTH SOUTH 226 40
true false SOUTH NORTH 226 40
true false NORTH NORTH 226 40
true false NORTH NORTH 226 40
true false NORTH EAST 226 40
true false EAST EAST 225 50
true false EAST WEST 224 60
true false WEST EAST 224 60
true false EAST EAST 224 60
true false EAST SOUTH 223 70
true false SOUTH SOUTH 223 70
true false SOUTH NORTH 223 70
true false NORTH SOUTH 222 80
true false SOUTH SOUTH 222 80
true false SOUTH SOUTH 222 80
true false SOUTH WEST 222 80
true false WEST WEST 222 80
true false WEST EAST 222 80
true false EAST EAST 222 80
true false EAST WEST 222 80
true false WEST WEST 222 80
true false WEST WEST 222 80
true false WEST NORTH 222 80
true false NORTH EAST 222 80
true false EAST EAST 222 80
true false EAST NORTH 222 80
true false NORTH SOUTH 222 80
true false SOUTH NORTH 222 80
true false NORTH WEST 222 80
true false WEST WEST 222 80
true false WEST SOUTH 222 80
true false SOUTH EAST 222 80
true false EAST EAST 222 80
true false EAST SOUTH 222 80
true false SOUTH EAST 222 80
true false EAST WEST 222 80
true false WEST NORTH 222 80
true false NORTH SOUTH 222 80
true false SOUTH SOUTH 222 80
true false SOUTH SOUTH 222 80
true false SOUTH EAST 222 80
true false EAST WEST 222 80
true false WEST EAST 222 80
true false EAST SOUTH 222 80
true false SOUTH WEST 222 80
true false WEST SOUTH 222 80
true false SOUTH SOUTH 222 80
true false SOUTH EAST 222 80
true false EAST WEST 222 80
true false WEST EAST 222 80
true false EAST SOUTH 222 80
true false SOUTH WEST 222 80
true false WEST NORTH 222 80
true false NORTH WEST 222 80
true false WEST SOUTH 222 80
true false SOUTH EAST 222 80
true false EAST EAST 222 80
true false EAST EAST 222 80
true false EAST EAST 221 90
true false EAST EAST 221 90
true false EAST WEST 221 90
true false WEST NORTH 221 90
true false NORTH NORTH 221 90
true false NORTH NORTH 220 100
true false NORTH SOUTH 219 110
true false SOUTH NORTH 219 110
true false NORTH WEST 219 110
true false WEST EAST 218 120
true false EAST EAST 218 120
true false EAST EAST 217 130
true false EAST NORTH 217 130
true false NORTH SOUTH 217 130
true false SOUTH EAST 216 140
true false EAST NORTH 216 140
true false NORTH NORTH 216 140
true false NORTH SOUTH 216 140
true false SOUTH SOUTH 216 140
true false SOUTH NORTH 215 150
true false NORTH SOUTH 215 150
true false SOUTH EAST 215 150
true false EAST SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST WEST 215 150
true false WEST EAST 215 150
true false EAST WEST 215 150
true false WEST SOUTH 215 150
true false SOUTH SOUTH 215 150
true false SOUTH SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST SOUTH 215 150
true false SOUTH NORTH 215 150
true false NORTH EAST 215 150
true false EAST NORTH 215 150
true false NORTH SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST WEST 215 150
true false WEST EAST 215 150
true false EAST WEST 215 150
true false WEST SOUTH 215 150
true false SOUTH NORTH 215 150
