isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 230 0
true false WEST EAST 229 10
true false EAST EAST 229 10
true false EAST EAST 228 20
true false EAST SOUTH 227 30
true false SOUTH SOUTH 227 30
true false SOUTH EAST 227 30
true false EAST EAST 226 40
true false EAST EAST 225 50
true false EAST WEST 224 60
true false WEST EAST 224 60
true false EAST EAST 224 60
true false EAST EAST 223 70
true false EAST EAST 223 70
true false EAST EAST 223 70
true false EAST WEST 223 70
true false WEST NORTH 223 70
true false NORTH SOUTH 222 80
true false SOUTH WEST 222 80
true false WEST WEST 222 80
true false WEST WEST 222 80
true false WEST EAST 222 80
true false EAST WEST 222 80
true false WEST WEST 222 80
true false WEST NORTH 222 80
true false NORTH EAST 222 80
true false EAST NORTH 222 80
true false NORTH SOUTH 222 80
true false SOUTH WEST 222 80
true false WEST EAST 222 80
true false EAST NORTH 222 80
true false NORTH WEST 222 80
true false WEST WEST 222 80
true false WEST NORTH 222 80
true false NORTH WEST 222 80
true false WEST SOUTH 222 80
true false SOUTH SOUTH 222 80
true false SOUTH NORTH 222 80
true false NORTH SOUTH 222 80
true false SOUTH SOUTH 222 80
true false SOUTH EAST 222 80
true false EAST SOUTH 222 80
true false SOUTH SOUTH 221 90
true false SOUTH WEST 220 100
true false WEST SOUTH 219 110
true false SOUTH WEST 218 120
true false WEST EAST 217 130
true false EAST EAST 217 130
true false EAST WEST 216 140
true false WEST SOUTH 216 140
true false SOUTH EAST 216 140
true false EAST NORTH 216 140
true false NORTH WEST 216 140
true false WEST SOUTH 216 140
true false SOUTH WEST 216 140
true false WEST NORTH 216 140
true false NORTH SOUTH 216 140
true false SOUTH SOUTH 216 140
true false SOUTH NORTH 216 140
true false NORTH NORTH 216 140
true false NORTH WEST 216 140
true false WEST EAST 215 150
true false EAST WEST 215 150
true false WEST SOUTH 215 150
true false SOUTH EAST 215 150
true false EAST EAST 215 150
true false EAST EAST 215 150
true false EAST EAST 215 150
true false EAST NORTH 214 160
true false NORTH WEST 213 170
true false WEST SOUTH 213 170
true false SOUTH EAST 213 170
true false EAST WEST 213 170
true false WEST NORTH 213 170
true false NORTH NORTH 213 170
true false NORTH WEST 213 170
true false WEST WEST 213 170
true false WEST SOUTH 213 170
true false SOUTH NORTH 213 170
true false NORTH WEST 213 170
