isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST EAST 230 0
true false EAST EAST 229 10
true false EAST EAST 228 20
true false EAST NORTH 227 30
true false NORTH SOUTH 227 30
true false SOUTH WEST 227 30
true false WEST SOUTH 227 30
true false SOUTH SOUTH 227 30
true false SOUTH SOUTH 227 30
true false SOUTH SOUTH 227 30
true false SOUTH EAST 227 30
true false EAST EAST 227 30
true false EAST SOUTH 226 40
true false SOUTH EAST 226 40
true false EAST NORTH 225 50
true false NORTH NORTH 224 60
true false NORTH NORTH 223 70
true false NORTH SOUTH 222 80
true false SOUTH EAST 222 80
true false EAST NORTH 221 90
true false NORTH SOUTH 220 100
true false SOUTH SOUTH 220 100
true false SOUTH NORTH 219 110
true false NORTH WEST 219 110
true false WEST EAST 219 110
true false EAST SOUTH 219 110
true false SOUTH NORTH 219 110
true false NORTH NORTH 219 110
true false NORTH EAST 219 110
true false EAST EAST 219 110
true false EAST SOUTH 219 110
true false SOUTH WEST 219 110
true false WEST WEST 219 110
true false WEST WEST 218 120
true false WEST NORTH 217 130
true false NORTH WEST 216 140
true false WEST SOUTH 215 150
true false SOUTH EAST 214 160
true false EAST EAST 214 160
true false EAST WEST 214 160
true false WEST SOUTH 214 160
true false SOUTH EAST 214 160
true false EAST NORTH 214 160
true false NORTH SOUTH 213 170
true false SOUTH SOUTH 213 170
true false SOUTH NORTH 213 170
true false NORTH NORTH 213 170
true false NORTH EAST 213 170
true false EAST NORTH 213 170
true false NORTH WEST 212 180
true false WEST EAST 212 180
true false EAST SOUTH 212 180
true false SOUTH NORTH 212 180
true false NORTH SOUTH 212 180
true false SOUTH EAST 212 180
true false EAST EAST 212 180
true false EAST SOUTH 212 180
true false SOUTH EAST 212 180
true false EAST SOUTH 212 180
true false SOUTH WEST 212 180
true false WEST WEST 212 180
true false WEST NORTH 212 180
true false NORTH EAST 212 180
true false EAST EAST 212 180
true false EAST WEST 212 180
true false WEST EAST 212 180
true false EAST EAST 212 180
true false EAST EAST 212 180
true false EAST WEST 212 180
true false WEST NORTH 212 180
true false NORTH WEST 212 180
true false WEST SOUTH 212 180
true false SOUTH EAST 212 180
true false EAST NORTH 212 180
true false NORTH NORTH 212 180
true false NORTH EAST 212 180
true false EAST SOUTH 212 180
true false SOUTH EAST 212 180
true false EAST NORTH 212 180
true false NORTH NORTH 212 180
true false NORTH WEST 212 180
true false WEST EAST 212 180
true false EAST SOUTH 212 180
true false SOUTH NORTH 212 180
true false NORTH SOUTH 212 180
true false SOUTH SOUTH 212 180
true false SOUTH WEST 212 180
true false WEST WEST 212 180
true false WEST EAST 212 180
true false EAST EAST 212 180
true false EAST EAST 212 180
true false EAST EAST 212 180
true false EAST SOUTH 212 180
true false SOUTH WEST 211 190
true false WEST NORTH 211 190
true false NORTH SOUTH 211 190
true false SOUTH SOUTH 211 190
true false SOUTH WEST 211 190
true false WEST WEST 211 190
true false WEST WEST 211 190
true false WEST EAST 211 190
true false EAST WEST 211 190
true false WEST EAST 211 190
true false EAST WEST 211 190
true false WEST SOUTH 211 190
true false SOUTH NORTH 211 190
true false NORTH SOUTH 211 190
true false SOUTH NORTH 211 190
true false NORTH EAST 211 190
true false EAST EAST 211 190
true false EAST EAST 211 190
true false EAST SOUTH 211 190
true false SOUTH EAST 211 190
true false EAST EAST 211 190
true false EAST WEST 211 190
true false WEST SOUTH 211 190
true false SOUTH SOUTH 211 190
true false SOUTH NORTH 211 190
true false NORTH NORTH 211 190
true false NORTH EAST 211 190
true false EAST NORTH 211 190
true false NORTH EAST 211 190
true false EAST EAST 211 190
true false EAST EAST 211 190
true false EAST NORTH 211 190
true false NORTH WEST 211 190
true false WEST SOUTH 211 190
true false SOUTH SOUTH 211 190
true false SOUTH NORTH 211 190
true false NORTH WEST 211 190
true false WEST WEST 211 190
true false WEST NORTH 211 190
true false NORTH NORTH 211 190
true false NORTH WEST 211 190
true false WEST SOUTH 211 190
true false SOUTH NORTH 211 190
true false NORTH NORTH 211 190
true false NORTH NORTH 211 190
true false NORTH SOUTH 211 190
true false SOUTH NORTH 211 190
true false NORTH WEST 211 190
true false WEST WEST 210 200
true false WEST EAST 209 210
true false EAST NORTH 209 210
true false NORTH SOUTH 209 210
true false SOUTH EAST 208 220
true false EAST NORTH 208 220
true false NORTH WEST 208 220
true false WEST EAST 208 220
true false EAST NORTH 208 220
true false NORTH NORTH 208 220
true false NORTH WEST 208 220
true false WEST NORTH 208 220
true false NORTH WEST 208 220
true false WEST NORTH 208 220
true false NORTH WEST 207 230
true false WEST EAST 207 230
true false EAST WEST 207 230
true false WEST WEST 207 230
true false WEST SOUTH 207 230
true false SOUTH NORTH 207 230
true false NORTH SOUTH 207 230
true false SOUTH EAST 207 230
true false EAST SOUTH 207 230
true false SOUTH WEST 207 230
true false WEST SOUTH 206 240
true false SOUTH SOUTH 206 240
