isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST SOUTH 230 0
true false SOUTH EAST 229 10
true false EAST EAST 229 10
true false EAST NORTH 229 10
true false NORTH WEST 229 10
true false WEST EAST 228 20
true false EAST WEST 228 20
true false WEST WEST 228 20
true false WEST SOUTH 227 30
true false SOUTH SOUTH 227 30
true false SOUTH SOUTH 227 30
true false SOUTH WEST 227 30
true false WEST EAST 226 40
true false EAST SOUTH 226 40
true false SOUTH NORTH 226 40
true false NORTH SOUTH 226 40
true false SOUTH EAST 226 40
true false EAST EAST 226 40
true false EAST EAST 226 40
true false EAST NORTH 225 50
true false NORTH WEST 225 50
true false WEST NORTH 225 50
true false NORTH SOUTH 225 50
true false SOUTH EAST 225 50
true false EAST WEST 225 50
true false WEST WEST 225 50
true false WEST EAST 225 50
true false EAST WEST 225 50
true false WEST EAST 225 50
true false EAST NORTH 225 50
true false NORTH SOUTH 225 50
true false SOUTH EAST 225 50
true false EAST WEST 225 50
true false WEST EAST 225 50
true false EAST WEST 225 50
true false WEST SOUTH 225 50
true false SOUTH WEST 224 60
true false WEST EAST 223 70
true false EAST EAST 223 70
true false EAST NORTH 222 80
true false NORTH WEST 222 80
true false WEST NORTH 222 80
true false NORTH EAST 222 80
true false EAST NORTH 222 80
true false NORTH SOUTH 222 80
true false SOUTH SOUTH 222 80
true false SOUTH EAST 222 80
true false EAST NORTH 222 80
true false NORTH EAST 222 80
true false EAST WEST 222 80
true false WEST WEST 222 80
true false WEST NORTH 222 80
true false NORTH WEST 222 80
true false WEST SOUTH 222 80
true false SOUTH EAST 221 90
true false EAST SOUTH 220 100
true false SOUTH EAST 220 100
true false EAST WEST 219 110
true false WEST WEST 219 110
true false WEST SOUTH 219 110
true false SOUTH NORTH 219 110
true false NORTH SOUTH 219 110
true false SOUTH EAST 219 110
true false EAST NORTH 219 110
true false NORTH EAST 219 110
true false EAST NORTH 219 110
true false NORTH EAST 219 110
true false EAST SOUTH 219 110
true false SOUTH NORTH 219 110
true false NORTH SOUTH 219 110
true false SOUTH EAST 219 110
true false EAST WEST 218 120
true false WEST SOUTH 218 120
true false SOUTH WEST 218 120
true false WEST SOUTH 218 120
true false SOUTH EAST 218 120
true false EAST WEST 218 120
true false WEST SOUTH 218 120
true false SOUTH EAST 218 120
true false EAST WEST 218 120
true false WEST NORTH 218 120
true false NORTH SOUTH 218 120
true false SOUTH WEST 218 120
true false WEST EAST 218 120
true false EAST WEST 218 120
true false WEST EAST 218 120
true false EAST SOUTH 218 120
true false SOUTH EAST 218 120
true false EAST EAST 218 120
true false EAST EAST 218 120
true false EAST NORTH 217 130
true false NORTH SOUTH 217 130
true false SOUTH SOUTH 217 130
true false SOUTH SOUTH 217 130
true false SOUTH NORTH 217 130
true false NORTH SOUTH 217 130
true false SOUTH SOUTH 217 130
true false SOUTH SOUTH 217 130
true false SOUTH SOUTH 217 130
true false SOUTH WEST 217 130
true false WEST EAST 217 130
true false EAST NORTH 217 130
true false NORTH NORTH 217 130
true false NORTH NORTH 217 130
true false NORTH NORTH 217 130
true false NORTH EAST 217 130
true false EAST SOUTH 216 140
true false SOUTH EAST 216 140
true false EAST NORTH 215 150
true false NORTH SOUTH 215 150
true false SOUTH SOUTH 215 150
true false SOUTH SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST SOUTH 215 150
true false SOUTH EAST 215 150
true false EAST EAST 215 150
true false EAST EAST 214 160
true false EAST NORTH 213 170
true false NORTH SOUTH 212 180
true false SOUTH NORTH 212 180
true false NORTH WEST 212 180
true false WEST WEST 211 190
true false WEST NORTH 211 190
true false NORTH SOUTH 210 200
true false SOUTH NORTH 210 200
true false NORTH WEST 210 200
true false WEST EAST 210 200
true false EAST SOUTH 210 200
true false SOUTH SOUTH 210 200
true false SOUTH WEST 210 200
true false WEST EAST 210 200
true false EAST NORTH 210 200
true false NORTH WEST 210 200
true false WEST EAST 210 200
true false EAST WEST 210 200
true false WEST SOUTH 210 200
true false SOUTH NORTH 210 200
true false NORTH WEST 210 200
true false WEST NORTH 210 200
true false NORTH WEST 210 200
true false WEST WEST 210 200
true false WEST EAST 210 200
true false EAST NORTH 210 200
true false NORTH EAST 209 210
true false EAST NORTH 209 210
true false NORTH WEST 208 220
true false WEST NORTH 207 230
true false NORTH WEST 206 240
true false WEST NORTH 205 250
true false NORTH EAST 204 260
true false EAST EAST 203 270
true false EAST NORTH 202 280
true false NORTH EAST 202 280
true false EAST EAST 202 280
true false EAST EAST 202 280
true false EAST WEST 202 280
true false WEST EAST 202 280
true false EAST NORTH 202 280
true false NORTH EAST 202 280
true false EAST WEST 202 280
true false WEST EAST 202 280
true false EAST EAST 202 280
true false EAST EAST 202 280
true false EAST NORTH 202 280
true false NORTH SOUTH 202 280
true false SOUTH NORTH 201 290
true false NORTH NORTH 201 290
true false NORTH EAST 201 290
true false EAST WEST 201 290
true false WEST NORTH 201 290
true false NORTH EAST 200 300
true false EAST NORTH 200 300
true false NORTH EAST 199 310
true false EAST SOUTH 198 320
true false SOUTH SOUTH 198 320
true false SOUTH SOUTH 198 320
true false SOUTH WEST 198 320
true false WEST SOUTH 198 320
true false SOUTH WEST 198 320
true false WEST EAST 198 320
true false EAST SOUTH 198 320
true false SOUTH NORTH 198 320
true false NORTH WEST 198 320
true false WEST WEST 198 320
true false WEST EAST 198 320
true false EAST SOUTH 198 320
true false SOUTH EAST 198 320
true false EAST NORTH 198 320
true false NORTH WEST 198 320
true false WEST WEST 198 320
true false WEST WEST 198 320
true false WEST SOUTH 197 330
true false SOUTH NORTH 196 340
true false NORTH EAST 196 340
true false EAST EAST 196 340
true false EAST NORTH 196 340
true false NORTH EAST 196 340
true false EAST NORTH 196 340
true false NORTH WEST 196 340
true false WEST NORTH 196 340
true false NORTH SOUTH 196 340
true false SOUTH WEST 196 340
true false WEST SOUTH 196 340
true false SOUTH WEST 196 340
true false WEST EAST 196 340
true false EAST EAST 196 340
true false EAST WEST 196 340
