isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST NORTH 230 0
true false NORTH NORTH 230 0
true false NORTH SOUTH 230 0
true false SOUTH NORTH 229 10
true false NORTH WEST 229 10
true false WEST EAST 228 20
true false EAST NORTH 228 20
true false NORTH WEST 228 20
true false WEST EAST 228 20
true false EAST NORTH 228 20
true false NORTH WEST 228 20
true false WEST SOUTH 228 20
true false SOUTH WEST 228 20
true false WEST SOUTH 227 30
true false SOUTH EAST 227 30
true false EAST NORTH 227 30
true false NORTH EAST 227 30
true false EAST SOUTH 227 30
true false SOUTH SOUTH 227 30
true false SOUTH SOUTH 226 40
true false SOUTH SOUTH 225 50
true false SOUTH EAST 225 50
true false EAST NORTH 224 60
true false NORTH NORTH 223 70
true false NORTH SOUTH 223 70
true false SOUTH SOUTH 223 70
true false SOUTH EAST 223 70
true false EAST EAST 222 80
true false EAST WEST 221 90
true false WEST SOUTH 221 90
true false SOUTH EAST 221 90
true false EAST WEST 221 90
true false WEST NORTH 221 90
true false NORTH NORTH 221 90
true false NORTH EAST 221 90
true false EAST WEST 221 90
true false WEST WEST 221 90
true false WEST EAST 221 90
true false EAST WEST 221 90
true false WEST SOUTH 221 90
true false SOUTH SOUTH 221 90
true false SOUTH NORTH 221 90
true false NORTH SOUTH 221 90
true false SOUTH SOUTH 221 90
true false SOUTH EAST 221 90
true false EAST NORTH 221 90
true false NORTH SOUTH 221 90
true false SOUTH SOUTH 221 90
true false SOUTH SOUTH 221 90
true false SOUTH NORTH 221 90
true false NORTH WEST 221 90
true false WEST WEST 221 90
true false WEST NORTH 221 90
true false NORTH SOUTH 221 90
true false SOUTH EAST 221 90
true false EAST EAST 221 90
true false EAST WEST 221 90
true false WEST SOUTH 221 90
true false SOUTH SOUTH 221 90
true false SOUTH EAST 221 90
true false EAST NORTH 221 90
true false NORTH NORTH 221 90
true false NORTH WEST 221 90
true false WEST SOUTH 221 90
true false SOUTH SOUTH 221 90
true false SOUTH NORTH 221 90
true false NORTH EAST 221 90
true false EAST WEST 221 90
true false WEST WEST 221 90
true false WEST EAST 220 100
true false EAST SOUTH 220 100
true false SOUTH SOUTH 220 100
true false SOUTH NORTH 220 100
true false NORTH WEST 220 100
true false WEST SOUTH 220 100
true false SOUTH NORTH 219 110
true false NORTH NORTH 219 110
true false NORTH NORTH 219 110
true false NORTH WEST 219 110
true false WEST EAST 219 110
true false EAST SOUTH 219 110
true false SOUTH EAST 219 110
true false EAST WEST 219 110
true false WEST SOUTH 219 110
true false SOUTH NORTH 219 110
true false NORTH NORTH 219 110
true false NORTH SOUTH 219 110
true false SOUTH EAST 219 110
true false EAST WEST 219 110
true false WEST SOUTH 219 110
true false SOUTH WEST 219 110
true false WEST NORTH 219 110
true false NORTH WEST 219 110
true false WEST WEST 219 110
true false WEST NORTH 219 110
true false NORTH EAST 219 110
true false EAST NORTH 219 110
true false NORTH SOUTH 219 110
true false SOUTH WEST 219 110
true false WEST SOUTH 219 110
true false SOUTH SOUTH 219 110
true false SOUTH NORTH 219 110
true false NORTH NORTH 219 110
true false NORTH NORTH 219 110
true false NORTH WEST 219 110
true false WEST WEST 219 110
true false WEST EAST 219 110
true false EAST SOUTH 219 110
true false SOUTH EAST 219 110
true false EAST NORTH 219 110
