isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 230 0
true false WEST SOUTH 229 10
true false SOUTH EAST 229 10
true false EAST NORTH 229 10
true false NORTH WEST 229 10
true false WEST SOUTH 229 10
true false SOUTH WEST 229 10
true false WEST SOUTH 228 20
true false SOUTH EAST 228 20
true false EAST EAST 228 20
true false EAST NORTH 228 20
true false NORTH SOUTH 228 20
true false SOUTH WEST 227 30
true false WEST WEST 227 30
true false WEST WEST 227 30
true false WEST EAST 227 30
true false EAST NORTH 227 30
true false NORTH SOUTH 227 30
true false SOUTH EAST 227 30
true false EAST EAST 227 30
true false EAST WEST 227 30
true false WEST WEST 227 30
true false WEST EAST 227 30
true false EAST WEST 227 30
true false WEST SOUTH 227 30
true false SOUTH SOUTH 226 40
true false SOUTH SOUTH 225 50
true false SOUTH SOUTH 225 50
true false SOUTH SOUTH 225 50
true false SOUTH EAST 225 50
true false EAST SOUTH 224 60
true false SOUTH WEST 224 60
true false WEST EAST 224 60
true false EAST SOUTH 224 60
true false SOUTH NORTH 224 60
true false NORTH NORTH 223 70
true false NORTH SOUTH 223 70
true false SOUTH EAST 223 70
true false EAST NORTH 222 80
true false NORTH EAST 222 80
true false EAST SOUTH 221 90
true false SOUTH WEST 221 90
true false WEST EAST 221 90
true false EAST WEST 221 90
true false WEST EAST 221 90
true false EAST WEST 221 90
true false WEST SOUTH 221 90
true false SOUTH NORTH 221 90
true false NORTH NORTH 221 90
true false NORTH EAST 221 90
true false EAST EAST 221 90
true false EAST SOUTH 220 100
true false SOUTH SOUTH 220 100
true false SOUTH WEST 220 100
true false WEST WEST 220 100
true false WEST SOUTH 220 100
true false SOUTH WEST 220 100
true false WEST SOUTH 220 100
true false SOUTH NORTH 220 100
true false NORTH SOUTH 220 100
true false SOUTH WEST 220 100
true false WEST WEST 220 100
true false WEST EAST 219 110
true false EAST WEST 219 110
true false WEST SOUTH 219 110
true false SOUTH WEST 219 110
true false WEST SOUTH 218 120
true false SOUTH WEST 218 120
true false WEST NORTH 217 130
true false NORTH WEST 217 130
true false WEST SOUTH 216 140
true false SOUTH NORTH 216 140
true false NORTH NORTH 216 140
true false NORTH EAST 216 140
true false EAST NORTH 216 140
true false NORTH EAST 216 140
true false EAST EAST 216 140
true false EAST EAST 216 140
true false EAST SOUTH 216 140
true false SOUTH EAST 216 140
true false EAST NORTH 216 140
true false NORTH EAST 216 140
true false EAST SOUTH 216 140
true false SOUTH WEST 216 140
true false WEST NORTH 216 140
true false NORTH EAST 216 140
true false EAST EAST 216 140
true false EAST WEST 216 140
true false WEST WEST 216 140
true false WEST SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST SOUTH 215 150
true false SOUTH EAST 215 150
true false EAST EAST 215 150
true false EAST SOUTH 215 150
true false SOUTH NORTH 215 150
true false NORTH SOUTH 215 150
true false SOUTH SOUTH 215 150
true false SOUTH SOUTH 215 150
true false SOUTH EAST 215 150
true false EAST NORTH 215 150
true false NORTH WEST 215 150
true false WEST EAST 215 150
true false EAST EAST 215 150
true false EAST WEST 215 150
true false WEST WEST 215 150
true false WEST NORTH 215 150
true false NORTH SOUTH 215 150
true false SOUTH NORTH 215 150
true false NORTH SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST NORTH 215 150
true false NORTH EAST 215 150
true false EAST EAST 215 150
true false EAST EAST 215 150
true false EAST SOUTH 215 150
true false SOUTH EAST 215 150
true false EAST EAST 215 150
true false EAST NORTH 215 150
true false NORTH WEST 215 150
true false WEST NORTH 215 150
true false NORTH NORTH 215 150
true false NORTH NORTH 215 150
true false NORTH SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST NORTH 215 150
true false NORTH WEST 215 150
true false WEST EAST 215 150
true false EAST NORTH 215 150
true false NORTH EAST 215 150
true false EAST NORTH 215 150
true false NORTH EAST 215 150
true false EAST SOUTH 215 150
true false SOUTH SOUTH 215 150
true false SOUTH EAST 215 150
true false EAST NORTH 215 150
true false NORTH NORTH 215 150
true false NORTH EAST 215 150
true false EAST SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST SOUTH 215 150
true false SOUTH SOUTH 215 150
true false SOUTH NORTH 215 150
true false NORTH EAST 215 150
true false EAST WEST 215 150
true false WEST NORTH 215 150
true false NORTH EAST 215 150
true false EAST NORTH 215 150
true false NORTH EAST 215 150
true false EAST SOUTH 215 150
true false SOUTH NORTH 215 150
true false NORTH SOUTH 215 150
true false SOUTH SOUTH 215 150
true false SOUTH EAST 215 150
true false EAST NORTH 214 160
true false NORTH WEST 214 160
true false WEST WEST 214 160
true false WEST SOUTH 214 160
true false SOUTH WEST 214 160
true false WEST NORTH 214 160
true false NORTH EAST 214 160
true false EAST EAST 214 160
true false EAST NORTH 214 160
true false NORTH WEST 214 160
true false WEST EAST 214 160
true false EAST NORTH 214 160
true false NORTH SOUTH 214 160
true false SOUTH SOUTH 214 160
true false SOUTH SOUTH 214 160
true false SOUTH EAST 214 160
true false EAST EAST 214 160
true false EAST WEST 213 170
true false WEST WEST 213 170
true false WEST SOUTH 213 170
true false SOUTH NORTH 213 170
true false NORTH WEST 213 170
true false WEST SOUTH 213 170
true false SOUTH EAST 213 170
true false EAST WEST 213 170
true false WEST NORTH 213 170
true false NORTH NORTH 213 170
true false NORTH SOUTH 213 170
true false SOUTH SOUTH 213 170
true false SOUTH EAST 213 170
true false EAST SOUTH 213 170
true false SOUTH SOUTH 213 170
true false SOUTH WEST 213 170
true false WEST WEST 213 170
true false WEST NORTH 213 170
true false NORTH WEST 213 170
true false WEST SOUTH 213 170
true false SOUTH NORTH 213 170
true false NORTH EAST 213 170
true false EAST WEST 213 170
true false WEST EAST 213 170
true false EAST SOUTH 213 170
true false SOUTH WEST 213 170
true false WEST SOUTH 213 170
true false SOUTH NORTH 213 170
true false NORTH NORTH 213 170
true false NORTH NORTH 213 170
true false NORTH EAST 213 170
true false EAST SOUTH 212 180
true false SOUTH WEST 212 180
true false WEST SOUTH 212 180
true false SOUTH SOUTH 212 180
true false SOUTH NORTH 212 180
true false NORTH NORTH 212 180
true false NORTH SOUTH 212 180
true false SOUTH SOUTH 212 180
true false SOUTH NORTH 212 180
true false NORTH WEST 212 180
true false WEST WEST 212 180
true false WEST SOUTH 212 180
true false SOUTH WEST 212 180
true false WEST NORTH 212 180
true false NORTH SOUTH 212 180
true false SOUTH EAST 212 180
true false EAST NORTH 212 180
true false NORTH SOUTH 212 180
true false SOUTH EAST 212 180
true false EAST NORTH 212 180
true false NORTH NORTH 212 180
true false NORTH EAST 212 180
true false EAST SOUTH 212 180
true false SOUTH WEST 212 180
true false WEST SOUTH 212 180
true false SOUTH EAST 212 180
true false EAST WEST 212 180
true false WEST NORTH 212 180
true false NORTH EAST 212 180
true false EAST NORTH 212 180
true false NORTH WEST 212 180
true false WEST NORTH 212 180
true false NORTH NORTH 212 180
true false NORTH EAST 212 180
true false EAST SOUTH 212 180
true false SOUTH SOUTH 212 180
true false SOUTH EAST 212 180
true false EAST SOUTH 211 190
true false SOUTH SOUTH 211 190
true false SOUTH NORTH 211 190
true false NORTH NORTH 211 190
true false NORTH WEST 211 190
true false WEST WEST 211 190
true false WEST SOUTH 211 190
true false SOUTH SOUTH 211 190
true false SOUTH WEST 211 190
true false WEST SOUTH 211 190
true false SOUTH SOUTH 211 190
true false SOUTH WEST 211 190
true false WEST EAST 211 190
true false EAST NORTH 211 190
true false NORTH WEST 211 190
true false WEST EAST 211 190
true false EAST SOUTH 211 190
true false SOUTH EAST 211 190
true false EAST NORTH 211 190
true false NORTH NORTH 211 190
true false NORTH WEST 211 190
true false WEST EAST 211 190
true false EAST SOUTH 211 190
true false SOUTH WEST 211 190
true false WEST EAST 211 190
true false EAST SOUTH 211 190
true false SOUTH NORTH 211 190
true false NORTH NORTH 211 190
true false NORTH SOUTH 211 190
true false SOUTH SOUTH 211 190
true false SOUTH WEST 211 190
true false WEST NORTH 211 190
true false NORTH EAST 211 190
