isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST EAST 230 0
true false EAST SOUTH 229 10
true false SOUTH WEST 229 10
true false WEST EAST 229 10
true false EAST EAST 229 10
true false EAST SOUTH 228 20
true false SOUTH SOUTH 228 20
true false SOUTH SOUTH 228 20
true false SOUTH WEST 228 20
true false WEST EAST 228 20
true false EAST NORTH 228 20
true false NORTH SOUTH 228 20
true false SOUTH SOUTH 228 20
true false SOUTH SOUTH 228 20
true false SOUTH EAST 228 20
true false EAST EAST 227 30
true false EAST NORTH 226 40
true false NORTH NORTH 226 40
true false NORTH SOUTH 226 40
true false SOUTH EAST 226 40
true false EAST NORTH 225 50
true false NORTH EAST 224 60
true false EAST WEST 223 70
true false WEST WEST 223 70
true false WEST SOUTH 223 70
true false SOUTH NORTH 223 70
true false NORTH WEST 223 70
true false WEST EAST 223 70
true false EAST EAST 223 70
true false EAST EAST 223 70
true false EAST NORTH 223 70
true false NORTH EAST 222 80
true false EAST EAST 222 80
true false EAST WEST 222 80
true false WEST NORTH 221 90
true false NORTH NORTH 220 100
true false NORTH SOUTH 219 110
true false SOUTH EAST 219 110
true false EAST EAST 218 120
true false EAST WEST 218 120
true false WEST EAST 218 120
true false EAST WEST 218 120
true false WEST NORTH 218 120
true false NORTH EAST 218 120
true false EAST EAST 218 120
true false EAST SOUTH 218 120
true false SOUTH SOUTH 218 120
true false SOUTH SOUTH 218 120
true false SOUTH SOUTH 218 120
true false SOUTH SOUTH 218 120
true false SOUTH NORTH 218 120
true false NORTH WEST 218 120
true false WEST NORTH 218 120
true false NORTH SOUTH 218 120
true false SOUTH WEST 218 120
true false WEST WEST 218 120
true false WEST EAST 218 120
true false EAST WEST 218 120
true false WEST NORTH 218 120
true false NORTH SOUTH 218 120
true false SOUTH EAST 218 120
true false EAST WEST 218 120
true false WEST NORTH 218 120
true false NORTH WEST 218 120
true false WEST SOUTH 217 130
true false SOUTH SOUTH 217 130
true false SOUTH EAST 217 130
true false EAST NORTH 217 130
true false NORTH NORTH 217 130
true false NORTH NORTH 217 130
true false NORTH SOUTH 216 140
true false SOUTH EAST 216 140
true false EAST WEST 216 140
true false WEST WEST 216 140
true false WEST SOUTH 216 140
true false SOUTH WEST 216 140
true false WEST SOUTH 215 150
true false SOUTH NORTH 215 150
true false NORTH EAST 215 150
true false EAST NORTH 215 150
true false NORTH SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST SOUTH 215 150
true false SOUTH NORTH 215 150
true false NORTH NORTH 215 150
true false NORTH WEST 215 150
true false WEST WEST 214 160
true false WEST SOUTH 213 170
true false SOUTH SOUTH 212 180
true false SOUTH WEST 212 180
true false WEST SOUTH 211 190
true false SOUTH NORTH 211 190
true false NORTH SOUTH 210 200
true false SOUTH NORTH 210 200
true false NORTH SOUTH 210 200
true false SOUTH NORTH 210 200
true false NORTH NORTH 210 200
true false NORTH EAST 210 200
true false EAST NORTH 210 200
true false NORTH WEST 210 200
true false WEST EAST 210 200
true false EAST NORTH 210 200
true false NORTH WEST 210 200
true false WEST EAST 210 200
true false EAST WEST 210 200
true false WEST SOUTH 210 200
true false SOUTH WEST 210 200
true false WEST EAST 209 210
true false EAST NORTH 209 210
true false NORTH WEST 209 210
true false WEST WEST 208 220
true false WEST WEST 207 230
true false WEST EAST 206 240
true false EAST EAST 206 240
true false EAST SOUTH 206 240
true false SOUTH WEST 206 240
true false WEST SOUTH 205 250
true false SOUTH SOUTH 205 250
true false SOUTH SOUTH 205 250
true false SOUTH SOUTH 205 250
true false SOUTH WEST 205 250
true false WEST SOUTH 204 260
true false SOUTH NORTH 204 260
true false NORTH EAST 204 260
true false EAST NORTH 204 260
true false NORTH SOUTH 204 260
true false SOUTH SOUTH 204 260
true false SOUTH NORTH 204 260
true false NORTH NORTH 204 260
true false NORTH WEST 204 260
true false WEST EAST 204 260
true false EAST SOUTH 204 260
true false SOUTH SOUTH 204 260
true false SOUTH NORTH 204 260
true false NORTH NORTH 204 260
true false NORTH EAST 204 260
true false EAST SOUTH 204 260
true false SOUTH SOUTH 204 260
true false SOUTH SOUTH 204 260
true false SOUTH NORTH 204 260
true false NORTH SOUTH 204 260
true false SOUTH WEST 204 260
true false WEST WEST 204 260
true false WEST EAST 204 260
true false EAST EAST 204 260
true false EAST SOUTH 204 260
true false SOUTH SOUTH 204 260
true false SOUTH EAST 204 260
true false EAST SOUTH 204 260
true false SOUTH SOUTH 204 260
true false SOUTH EAST 204 260
true false EAST SOUTH 204 260
true false SOUTH EAST 204 260
true false EAST SOUTH 203 270
true false SOUTH WEST 203 270
true false WEST SOUTH 203 270
true false SOUTH NORTH 203 270
true false NORTH EAST 203 270
true false EAST EAST 203 270
true false EAST NORTH 203 270
true false NORTH EAST 203 270
true false EAST NORTH 203 270
true false NORTH WEST 203 270
true false WEST EAST 203 270
true false EAST SOUTH 203 270
true false SOUTH NORTH 203 270
true false NORTH WEST 203 270
true false WEST EAST 203 270
true false EAST NORTH 203 270
true false NORTH NORTH 203 270
true false NORTH NORTH 203 270
true false NORTH NORTH 203 270
true false NORTH SOUTH 202 280
true false SOUTH SOUTH 202 280
true false SOUTH EAST 202 280
true false EAST EAST 202 280
true false EAST WEST 202 280
true false WEST SOUTH 202 280
true false SOUTH SOUTH 202 280
true false SOUTH NORTH 202 280
true false NORTH NORTH 202 280
true false NORTH EAST 202 280
true false EAST SOUTH 202 280
true false SOUTH WEST 202 280
true false WEST WEST 202 280
true false WEST NORTH 202 280
true false NORTH WEST 202 280
true false WEST WEST 202 280
true false WEST EAST 202 280
true false EAST EAST 202 280
true false EAST NORTH 202 280
true false NORTH EAST 202 280
true false EAST SOUTH 202 280
true false SOUTH EAST 202 280
true false EAST WEST 202 280
true false WEST SOUTH 202 280
true false SOUTH NORTH 202 280
true false NORTH SOUTH 202 280
true false SOUTH NORTH 202 280
true false NORTH EAST 202 280
true false EAST EAST 202 280
true false EAST EAST 202 280
true false EAST WEST 202 280
true false WEST WEST 202 280
true false WEST WEST 202 280
true false WEST SOUTH 202 280
true false SOUTH EAST 202 280
true false EAST WEST 201 290
true false WEST EAST 201 290
true false EAST WEST 201 290
true false WEST WEST 201 290
true false WEST NORTH 201 290
true false NORTH SOUTH 201 290
true false SOUTH EAST 201 290
true false EAST EAST 201 290
true false EAST NORTH 200 300
true false NORTH EAST 200 300
true false EAST SOUTH 199 310
true false SOUTH WEST 199 310
true false WEST SOUTH 199 310
true false SOUTH EAST 199 310
true false EAST SOUTH 199 310
true false SOUTH NORTH 199 310
true false NORTH NORTH 198 320
true false NORTH NORTH 197 330
true false NORTH WEST 196 340
true false WEST WEST 195 350
true false WEST WEST 194 360
true false WEST WEST 194 360
true false WEST EAST 194 360
true false EAST NORTH 194 360
true false NORTH NORTH 194 360
true false NORTH WEST 194 360
true false WEST NORTH 194 360
true false NORTH WEST 193 370
true false WEST NORTH 193 370
true false NORTH SOUTH 192 380
true false SOUTH WEST 192 380
true false WEST WEST 192 380
true false WEST SOUTH 192 380
true false SOUTH EAST 192 380
true false EAST WEST 192 380
true false WEST NORTH 192 380
true false NORTH NORTH 192 380
true false NORTH WEST 192 380
true false WEST SOUTH 191 390
true false SOUTH WEST 191 390
true false WEST SOUTH 190 400
true false SOUTH SOUTH 190 400
true false SOUTH NORTH 190 400
true false NORTH NORTH 190 400
true false NORTH NORTH 190 400
true false NORTH NORTH 190 400
true false NORTH NORTH 190 400
true false NORTH WEST 190 400
true false WEST SOUTH 189 410
true false SOUTH WEST 189 410
true false WEST WEST 188 420
true false WEST WEST 188 420
true false WEST SOUTH 187 430
true false SOUTH WEST 187 430
true false WEST SOUTH 186 440
true false SOUTH WEST 186 440
true false WEST SOUTH 185 450
true false SOUTH WEST 185 450
true false WEST NORTH 184 460
true false NORTH SOUTH 184 460
true false SOUTH SOUTH 184 460
true false SOUTH WEST 184 460
true false WEST WEST 183 470
true false WEST NORTH 183 470
true false NORTH NORTH 182 480
true false NORTH EAST 182 480
true false EAST WEST 182 480
true false WEST SOUTH 181 490
true false SOUTH WEST 181 490
true false WEST SOUTH 180 500
true false SOUTH NORTH 180 500
true false NORTH EAST 180 500
true false EAST SOUTH 180 500
true false SOUTH WEST 180 500
true false WEST WEST 180 500
true false WEST NORTH 179 510
true false NORTH SOUTH 178 520
true false SOUTH WEST 178 520
true false WEST EAST 178 520
true false EAST EAST 178 520
true false EAST EAST 178 520
true false EAST EAST 178 520
true false EAST SOUTH 178 520
true false SOUTH EAST 178 520
true false EAST WEST 178 520
true false WEST NORTH 178 520
true false NORTH EAST 178 520
true false EAST NORTH 178 520
true false NORTH EAST 178 520
true false EAST EAST 178 520
true false EAST WEST 178 520
true false WEST WEST 178 520
true false WEST NORTH 178 520
true false NORTH WEST 178 520
true false WEST NORTH 178 520
true false NORTH NORTH 178 520
true false NORTH NORTH 177 530
true false NORTH SOUTH 176 540
true false SOUTH SOUTH 176 540
true false SOUTH EAST 176 540
true false EAST SOUTH 176 540
true false SOUTH EAST 176 540
true false EAST EAST 176 540
true false EAST EAST 176 540
true false EAST SOUTH 176 540
true false SOUTH SOUTH 176 540
true false SOUTH SOUTH 175 550
true false SOUTH SOUTH 174 560
true false SOUTH NORTH 174 560
true false NORTH SOUTH 174 560
true false SOUTH SOUTH 174 560
true false SOUTH NORTH 174 560
true false NORTH WEST 174 560
true false WEST WEST 174 560
true false WEST WEST 174 560
true false WEST NORTH 174 560
true false NORTH NORTH 174 560
true false NORTH NORTH 174 560
true false NORTH WEST 174 560
true false WEST EAST 174 560
true false EAST NORTH 174 560
true false NORTH NORTH 174 560
true false NORTH SOUTH 174 560
true false SOUTH WEST 174 560
true false WEST NORTH 174 560
true false NORTH NORTH 174 560
true false NORTH WEST 174 560
true false WEST EAST 174 560
true false EAST NORTH 174 560
true false NORTH SOUTH 174 560
true false SOUTH WEST 174 560
true false WEST SOUTH 174 560
true false SOUTH NORTH 174 560
true false NORTH NORTH 174 560
true false NORTH EAST 174 560
true false EAST EAST 174 560
true false EAST WEST 174 560
true false WEST EAST 174 560
true false EAST EAST 174 560
true false EAST EAST 174 560
true false EAST SOUTH 174 560
true false SOUTH WEST 174 560
true false WEST WEST 174 560
true false WEST EAST 174 560
true false EAST SOUTH 174 560
true false SOUTH NORTH 174 560
true false NORTH WEST 174 560
true false WEST SOUTH 174 560
true false SOUTH NORTH 174 560
true false NORTH EAST 174 560
true false EAST NORTH 174 560
true false NORTH NORTH 174 560
true false NORTH EAST 174 560
true false EAST SOUTH 174 560
true false SOUTH SOUTH 174 560
true false SOUTH NORTH 174 560
true false NORTH EAST 174 560
true false EAST NORTH 174 560
true false NORTH NORTH 174 560
true false NORTH WEST 174 560
true false WEST EAST 174 560
true false EAST WEST 174 560
true false WEST SOUTH 174 560
true false SOUTH NORTH 174 560
true false NORTH NORTH 174 560
true false NORTH NORTH 174 560
true false NORTH EAST 174 560
true false EAST EAST 174 560
true false EAST EAST 174 560
true false EAST WEST 174 560
true false WEST NORTH 174 560
true false NORTH NORTH 173 570
true false NORTH NORTH 172 580
