isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 230 0
true false WEST NORTH 229 10
true false NORTH NORTH 229 10
true false NORTH EAST 229 10
true false EAST EAST 229 10
true false EAST SOUTH 228 20
true false SOUTH EAST 228 20
true false EAST NORTH 227 30
true false NORTH WEST 227 30
true false WEST SOUTH 227 30
true false SOUTH SOUTH 227 30
true false SOUTH WEST 227 30
true false WEST SOUTH 227 30
true false SOUTH EAST 226 40
true false EAST WEST 226 40
true false WEST EAST 226 40
true false EAST SOUTH 226 40
true false SOUTH EAST 225 50
true false EAST EAST 224 60
true false EAST WEST 224 60
true false WEST NORTH 224 60
true false NORTH WEST 224 60
true false WEST WEST 224 60
true false WEST SOUTH 224 60
true false SOUTH WEST 224 60
true false WEST NORTH 223 70
true false NORTH SOUTH 223 70
true false SOUTH WEST 222 80
true false WEST SOUTH 221 90
true false SOUTH EAST 221 90
true false EAST EAST 221 90
true false EAST EAST 220 100
true false EAST NORTH 219 110
true false NORTH SOUTH 219 110
true false SOUTH NORTH 219 110
true false NORTH WEST 219 110
true false WEST WEST 219 110
true false WEST SOUTH 219 110
true false SOUTH WEST 219 110
true false WEST SOUTH 219 110
true false SOUTH WEST 219 110
true false WEST EAST 218 120
true false EAST WEST 218 120
true false WEST WEST 218 120
true false WEST SOUTH 217 130
true false SOUTH WEST 217 130
true false WEST NORTH 216 140
true false NORTH SOUTH 216 140
true false SOUTH SOUTH 216 140
true false SOUTH WEST 216 140
true false WEST SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST EAST 214 160
true false EAST SOUTH 214 160
true false SOUTH WEST 214 160
true false WEST NORTH 214 160
true false NORTH SOUTH 213 170
true false SOUTH SOUTH 213 170
true false SOUTH SOUTH 213 170
true false SOUTH EAST 213 170
true false EAST EAST 213 170
true false EAST NORTH 213 170
true false NORTH EAST 213 170
true false EAST WEST 213 170
true false WEST EAST 213 170
true false EAST EAST 213 170
true false EAST EAST 213 170
