isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 230 0
true false WEST EAST 229 10
true false EAST WEST 229 10
true false WEST WEST 229 10
true false WEST WEST 228 20
true false WEST EAST 227 30
true false EAST EAST 227 30
true false EAST WEST 227 30
true false WEST SOUTH 227 30
true false SOUTH EAST 227 30
true false EAST SOUTH 227 30
true false SOUTH EAST 227 30
true false EAST EAST 227 30
true false EAST WEST 226 40
true false WEST SOUTH 226 40
true false SOUTH NORTH 225 50
true false NORTH WEST 225 50
true false WEST NORTH 225 50
true false NORTH EAST 225 50
true false EAST EAST 225 50
true false EAST EAST 225 50
true false EAST EAST 224 60
true false EAST WEST 223 70
true false WEST EAST 223 70
true false EAST WEST 223 70
true false WEST WEST 223 70
true false WEST WEST 223 70
true false WEST WEST 223 70
true false WEST EAST 223 70
true false EAST NORTH 223 70
true false NORTH NORTH 223 70
true false NORTH WEST 223 70
true false WEST EAST 223 70
true false EAST SOUTH 223 70
true false SOUTH SOUTH 223 70
true false SOUTH WEST 222 80
true false WEST SOUTH 221 90
true false SOUTH WEST 220 100
true false WEST NORTH 219 110
true false NORTH NORTH 219 110
true false NORTH NORTH 219 110
true false NORTH EAST 219 110
true false EAST WEST 219 110
true false WEST SOUTH 219 110
true false SOUTH EAST 219 110
true false EAST SOUTH 219 110
true false SOUTH EAST 219 110
true false EAST WEST 218 120
true false WEST EAST 218 120
true false EAST NORTH 218 120
true false NORTH NORTH 218 120
true false NORTH NORTH 218 120
true false NORTH EAST 218 120
true false EAST EAST 218 120
true false EAST WEST 218 120
true false WEST SOUTH 218 120
true false SOUTH WEST 218 120
true false WEST SOUTH 218 120
true false SOUTH EAST 218 120
true false EAST NORTH 218 120
true false NORTH WEST 218 120
true false WEST WEST 218 120
true false WEST WEST 218 120
true false WEST NORTH 218 120
true false NORTH EAST 218 120
true false EAST SOUTH 218 120
true false SOUTH WEST 218 120
true false WEST NORTH 218 120
true false NORTH SOUTH 218 120
true false SOUTH NORTH 218 120
true false NORTH NORTH 218 120
true false NORTH EAST 218 120
true false EAST WEST 218 120
true false WEST NORTH 218 120
true false NORTH WEST 218 120
true false WEST WEST 217 130
true false WEST NORTH 216 140
true false NORTH SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST NORTH 214 160
true false NORTH SOUTH 213 170
