isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST NORTH 230 0
true false NORTH SOUTH 230 0
true false SOUTH EAST 229 10
true false EAST WEST 229 10
true false WEST WEST 229 10
true false WEST WEST 229 10
true false WEST WEST 229 10
true false WEST WEST 229 10
true false WEST WEST 229 10
true false WEST EAST 229 10
true false EAST EAST 229 10
true false EAST SOUTH 229 10
true false SOUTH SOUTH 228 20
true false SOUTH SOUTH 227 30
true false SOUTH EAST 227 30
true false EAST SOUTH 226 40
true false SOUTH SOUTH 226 40
true false SOUTH EAST 226 40
true false EAST NORTH 225 50
true false NORTH SOUTH 225 50
true false SOUTH NORTH 225 50
true false NORTH SOUTH 225 50
true false SOUTH NORTH 225 50
true false NORTH WEST 225 50
true false WEST EAST 225 50
true false EAST WEST 225 50
true false WEST NORTH 225 50
true false NORTH EAST 224 60
true false EAST SOUTH 224 60
true false SOUTH EAST 224 60
true false EAST EAST 224 60
true false EAST NORTH 223 70
true false NORTH WEST 223 70
true false WEST WEST 223 70
true false WEST NORTH 223 70
true false NORTH SOUTH 223 70
true false SOUTH EAST 223 70
true false EAST WEST 223 70
true false WEST NORTH 223 70
true false NORTH SOUTH 223 70
true false SOUTH WEST 223 70
true false WEST WEST 223 70
true false WEST NORTH 222 80
true false NORTH SOUTH 221 90
true false SOUTH EAST 221 90
true false EAST SOUTH 221 90
true false SOUTH WEST 221 90
true false WEST WEST 221 90
true false WEST SOUTH 220 100
true false SOUTH WEST 220 100
true false WEST EAST 219 110
true false EAST EAST 219 110
true false EAST EAST 219 110
true false EAST NORTH 219 110
true false NORTH WEST 219 110
true false WEST NORTH 219 110
true false NORTH SOUTH 219 110
true false SOUTH EAST 219 110
true false EAST SOUTH 219 110
true false SOUTH WEST 219 110
true false WEST SOUTH 219 110
true false SOUTH NORTH 219 110
true false NORTH SOUTH 219 110
true false SOUTH NORTH 219 110
true false NORTH WEST 219 110
true false WEST NORTH 219 110
true false NORTH SOUTH 219 110
true false SOUTH SOUTH 219 110
true false SOUTH EAST 219 110
true false EAST EAST 219 110
true false EAST SOUTH 219 110
true false SOUTH SOUTH 219 110
true false SOUTH WEST 219 110
true false WEST SOUTH 219 110
true false SOUTH NORTH 219 110
true false NORTH NORTH 219 110
true false NORTH EAST 219 110
true false EAST WEST 219 110
true false WEST NORTH 219 110
true false NORTH SOUTH 219 110
true false SOUTH SOUTH 219 110
true false SOUTH NORTH 219 110
true false NORTH WEST 219 110
true false WEST SOUTH 219 110
true false SOUTH WEST 219 110
true false WEST EAST 219 110
true false EAST SOUTH 219 110
true false SOUTH SOUTH 219 110
true false SOUTH WEST 219 110
true false WEST EAST 219 110
true false EAST NORTH 219 110
true false NORTH SOUTH 219 110
true false SOUTH WEST 219 110
true false WEST EAST 219 110
true false EAST SOUTH 219 110
true false SOUTH SOUTH 219 110
true false SOUTH WEST 219 110
