isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 230 0
true false WEST SOUTH 229 10
true false SOUTH WEST 229 10
true false WEST WEST 228 20
true false WEST EAST 227 30
true false EAST SOUTH 227 30
true false SOUTH NORTH 227 30
true false NORTH EAST 227 30
true false EAST NORTH 227 30
true false NORTH NORTH 227 30
true false NORTH EAST 227 30
true false EAST SOUTH 227 30
true false SOUTH SOUTH 226 40
true false SOUTH EAST 225 50
true false EAST NORTH 224 60
true false NORTH WEST 224 60
true false WEST NORTH 224 60
true false NORTH EAST 224 60
true false EAST NORTH 224 60
true false NORTH EAST 224 60
true false EAST EAST 223 70
true false EAST SOUTH 222 80
true false SOUTH EAST 222 80
true false EAST EAST 221 90
true false EAST SOUTH 220 100
true false SOUTH SOUTH 220 100
true false SOUTH NORTH 220 100
true false NORTH EAST 220 100
true false EAST NORTH 219 110
true false NORTH WEST 218 120
true false WEST EAST 218 120
true false EAST EAST 217 130
true false EAST EAST 217 130
true false EAST EAST 217 130
true false EAST EAST 217 130
true false EAST NORTH 217 130
true false NORTH WEST 216 140
true false WEST NORTH 215 150
true false NORTH SOUTH 214 160
true false SOUTH WEST 214 160
true false WEST WEST 213 170
true false WEST EAST 212 180
true false EAST NORTH 212 180
true false NORTH WEST 211 190
true false WEST EAST 210 200
true false EAST EAST 210 200
true false EAST NORTH 210 200
true false NORTH EAST 209 210
true false EAST NORTH 209 210
true false NORTH SOUTH 208 220
true false SOUTH NORTH 208 220
true false NORTH WEST 208 220
true false WEST EAST 208 220
true false EAST WEST 207 230
true false WEST EAST 207 230
true false EAST SOUTH 207 230
true false SOUTH SOUTH 207 230
true false SOUTH SOUTH 207 230
true false SOUTH NORTH 207 230
true false NORTH NORTH 207 230
true false NORTH SOUTH 207 230
true false SOUTH NORTH 207 230
true false NORTH WEST 207 230
true false WEST SOUTH 207 230
true false SOUTH EAST 207 230
true false EAST WEST 207 230
true false WEST EAST 207 230
true false EAST SOUTH 207 230
true false SOUTH WEST 207 230
true false WEST EAST 207 230
true false EAST NORTH 207 230
true false NORTH NORTH 207 230
true false NORTH WEST 207 230
true false WEST SOUTH 207 230
true false SOUTH NORTH 207 230
true false NORTH NORTH 207 230
true false NORTH EAST 207 230
true false EAST NORTH 207 230
true false NORTH WEST 207 230
true false WEST NORTH 207 230
true false NORTH SOUTH 206 240
true false SOUTH NORTH 206 240
true false NORTH NORTH 206 240
true false NORTH NORTH 205 250
true false NORTH EAST 204 260
true false EAST EAST 204 260
true false EAST NORTH 204 260
true false NORTH NORTH 203 270
true false NORTH SOUTH 203 270
true false SOUTH NORTH 203 270
true false NORTH SOUTH 203 270
true false SOUTH EAST 203 270
true false EAST SOUTH 203 270
true false SOUTH WEST 203 270
true false WEST SOUTH 203 270
true false SOUTH WEST 203 270
true false WEST WEST 203 270
true false WEST SOUTH 203 270
true false SOUTH SOUTH 203 270
true false SOUTH WEST 203 270
true false WEST WEST 203 270
true false WEST EAST 203 270
true false EAST SOUTH 203 270
true false SOUTH WEST 203 270
true false WEST SOUTH 203 270
true false SOUTH NORTH 203 270
true false NORTH SOUTH 203 270
true false SOUTH NORTH 203 270
true false NORTH WEST 203 270
true false WEST EAST 203 270
true false EAST NORTH 203 270
true false NORTH NORTH 203 270
true false NORTH NORTH 203 270
true false NORTH EAST 203 270
true false EAST EAST 202 280
true false EAST NORTH 201 290
true false NORTH NORTH 200 300
true false NORTH SOUTH 199 310
true false SOUTH NORTH 199 310
true false NORTH SOUTH 199 310
true false SOUTH EAST 199 310
true false EAST WEST 199 310
true false WEST WEST 199 310
true false WEST WEST 199 310
true false WEST SOUTH 199 310
true false SOUTH WEST 199 310
true false WEST WEST 199 310
true false WEST WEST 199 310
true false WEST EAST 199 310
true false EAST NORTH 199 310
true false NORTH WEST 199 310
true false WEST SOUTH 199 310
true false SOUTH NORTH 199 310
true false NORTH SOUTH 199 310
true false SOUTH WEST 199 310
true false WEST SOUTH 199 310
true false SOUTH WEST 199 310
true false WEST NORTH 199 310
true false NORTH NORTH 199 310
true false NORTH SOUTH 199 310
true false SOUTH WEST 199 310
true false WEST NORTH 199 310
true false NORTH WEST 199 310
true false WEST SOUTH 198 320
true false SOUTH WEST 197 330
true false WEST NORTH 196 340
true false NORTH EAST 195 350
true false EAST EAST 195 350
true false EAST SOUTH 195 350
true false SOUTH EAST 195 350
true false EAST WEST 195 350
true false WEST NORTH 195 350
true false NORTH NORTH 195 350
true false NORTH SOUTH 195 350
true false SOUTH WEST 195 350
true false WEST SOUTH 195 350
true false SOUTH SOUTH 195 350
true false SOUTH EAST 195 350
true false EAST WEST 195 350
true false WEST NORTH 195 350
true false NORTH EAST 195 350
true false EAST WEST 195 350
true false WEST WEST 195 350
true false WEST NORTH 195 350
true false NORTH WEST 195 350
true false WEST WEST 194 360
true false WEST WEST 193 370
true false WEST SOUTH 192 380
true false SOUTH NORTH 191 390
true false NORTH SOUTH 191 390
true false SOUTH WEST 191 390
true false WEST WEST 190 400
true false WEST EAST 189 410
true false EAST EAST 189 410
true false EAST EAST 189 410
true false EAST WEST 188 420
true false WEST NORTH 188 420
true false NORTH SOUTH 188 420
true false SOUTH WEST 188 420
true false WEST EAST 188 420
true false EAST EAST 188 420
true false EAST EAST 188 420
true false EAST SOUTH 187 430
true false SOUTH NORTH 187 430
true false NORTH EAST 187 430
true false EAST EAST 187 430
true false EAST WEST 187 430
true false WEST WEST 187 430
true false WEST WEST 187 430
true false WEST NORTH 187 430
true false NORTH NORTH 187 430
true false NORTH NORTH 187 430
true false NORTH EAST 187 430
true false EAST EAST 187 430
true false EAST NORTH 187 430
true false NORTH WEST 187 430
true false WEST WEST 187 430
true false WEST SOUTH 187 430
true false SOUTH NORTH 187 430
true false NORTH EAST 187 430
true false EAST NORTH 187 430
true false NORTH SOUTH 186 440
true false SOUTH EAST 186 440
true false EAST NORTH 186 440
true false NORTH WEST 186 440
true false WEST SOUTH 186 440
true false SOUTH NORTH 186 440
true false NORTH NORTH 186 440
true false NORTH EAST 186 440
true false EAST EAST 186 440
true false EAST EAST 186 440
true false EAST WEST 186 440
true false WEST WEST 186 440
true false WEST EAST 186 440
true false EAST SOUTH 186 440
true false SOUTH EAST 186 440
true false EAST WEST 186 440
true false WEST WEST 186 440
true false WEST NORTH 186 440
true false NORTH NORTH 186 440
true false NORTH EAST 186 440
true false EAST EAST 186 440
true false EAST EAST 186 440
true false EAST SOUTH 186 440
true false SOUTH EAST 186 440
true false EAST SOUTH 186 440
true false SOUTH SOUTH 186 440
true false SOUTH NORTH 186 440
true false NORTH NORTH 186 440
true false NORTH WEST 186 440
true false WEST NORTH 186 440
true false NORTH SOUTH 186 440
true false SOUTH EAST 186 440
true false EAST EAST 186 440
true false EAST NORTH 186 440
true false NORTH WEST 186 440
true false WEST EAST 186 440
true false EAST EAST 186 440
true false EAST EAST 186 440
true false EAST EAST 185 450
true false EAST SOUTH 185 450
true false SOUTH WEST 185 450
true false WEST WEST 185 450
true false WEST WEST 185 450
true false WEST NORTH 185 450
true false NORTH NORTH 185 450
true false NORTH WEST 185 450
true false WEST EAST 185 450
true false EAST WEST 185 450
true false WEST WEST 185 450
true false WEST SOUTH 185 450
true false SOUTH NORTH 185 450
true false NORTH NORTH 185 450
true false NORTH SOUTH 185 450
true false SOUTH WEST 185 450
true false WEST EAST 185 450
true false EAST EAST 185 450
true false EAST WEST 185 450
true false WEST EAST 185 450
true false EAST NORTH 185 450
true false NORTH WEST 185 450
true false WEST NORTH 185 450
true false NORTH WEST 185 450
true false WEST EAST 185 450
true false EAST EAST 185 450
true false EAST WEST 185 450
true false WEST EAST 185 450
true false EAST SOUTH 185 450
true false SOUTH SOUTH 185 450
true false SOUTH SOUTH 185 450
true false SOUTH WEST 185 450
true false WEST SOUTH 185 450
true false SOUTH EAST 185 450
true false EAST EAST 185 450
true false EAST SOUTH 185 450
true false SOUTH SOUTH 185 450
true false SOUTH WEST 185 450
true false WEST SOUTH 185 450
true false SOUTH WEST 185 450
true false WEST WEST 185 450
