isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 230 0
true false WEST NORTH 229 10
true false NORTH WEST 229 10
true false WEST NORTH 228 20
true false NORTH WEST 228 20
true false WEST NORTH 227 30
true false NORTH WEST 227 30
true false WEST NORTH 226 40
true false NORTH NORTH 226 40
true false NORTH SOUTH 226 40
true false SOUTH SOUTH 226 40
true false SOUTH EAST 226 40
true false EAST NORTH 226 40
true false NORTH WEST 226 40
true false WEST WEST 226 40
true false WEST NORTH 225 50
true false NORTH SOUTH 224 60
true false SOUTH SOUTH 224 60
true false SOUTH EAST 224 60
true false EAST WEST 224 60
true false WEST NORTH 224 60
true false NORTH NORTH 224 60
true false NORTH EAST 223 70
true false EAST EAST 222 80
true false EAST EAST 221 90
true false EAST EAST 220 100
true false EAST EAST 219 110
true false EAST NORTH 218 120
true false NORTH EAST 217 130
true false EAST WEST 216 140
true false WEST SOUTH 216 140
true false SOUTH EAST 216 140
true false EAST SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST WEST 215 150
true false WEST SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST WEST 215 150
true false WEST SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST WEST 215 150
true false WEST EAST 215 150
true false EAST NORTH 215 150
true false NORTH SOUTH 214 160
true false SOUTH WEST 214 160
true false WEST SOUTH 214 160
true false SOUTH SOUTH 214 160
true false SOUTH EAST 214 160
true false EAST EAST 214 160
true false EAST NORTH 214 160
true false NORTH NORTH 214 160
true false NORTH EAST 214 160
true false EAST SOUTH 214 160
true false SOUTH SOUTH 214 160
true false SOUTH SOUTH 214 160
true false SOUTH EAST 214 160
true false EAST EAST 214 160
true false EAST SOUTH 214 160
true false SOUTH WEST 213 170
true false WEST EAST 213 170
true false EAST EAST 213 170
true false EAST EAST 213 170
true false EAST EAST 213 170
true false EAST WEST 213 170
true false WEST EAST 213 170
true false EAST EAST 213 170
true false EAST EAST 213 170
