isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST EAST 230 0
true false EAST NORTH 229 10
true false NORTH EAST 229 10
true false EAST NORTH 228 20
true false NORTH EAST 228 20
true false EAST SOUTH 227 30
true false SOUTH WEST 227 30
true false WEST SOUTH 227 30
true false SOUTH NORTH 227 30
true false NORTH WEST 227 30
true false WEST EAST 227 30
true false EAST SOUTH 227 30
true false SOUTH NORTH 227 30
true false NORTH SOUTH 227 30
true false SOUTH EAST 227 30
true false EAST EAST 227 30
true false EAST WEST 226 40
true false WEST EAST 226 40
true false EAST NORTH 226 40
true false NORTH SOUTH 226 40
true false SOUTH EAST 226 40
true false EAST NORTH 225 50
true false NORTH SOUTH 224 60
true false SOUTH EAST 224 60
true false EAST SOUTH 223 70
true false SOUTH EAST 222 80
true false EAST EAST 222 80
true false EAST WEST 222 80
true false WEST SOUTH 222 80
true false SOUTH WEST 221 90
true false WEST SOUTH 221 90
true false SOUTH WEST 220 100
true false WEST NORTH 219 110
true false NORTH EAST 219 110
true false EAST NORTH 219 110
true false NORTH SOUTH 219 110
true false SOUTH EAST 219 110
true false EAST SOUTH 218 120
true false SOUTH SOUTH 218 120
true false SOUTH EAST 218 120
true false EAST EAST 217 130
true false EAST WEST 216 140
true false WEST NORTH 216 140
true false NORTH WEST 215 150
true false WEST EAST 214 160
true false EAST WEST 214 160
true false WEST EAST 214 160
true false EAST WEST 214 160
true false WEST EAST 214 160
true false EAST SOUTH 214 160
true false SOUTH NORTH 214 160
true false NORTH NORTH 214 160
true false NORTH SOUTH 213 170
true false SOUTH WEST 213 170
true false WEST NORTH 213 170
true false NORTH WEST 213 170
true false WEST SOUTH 213 170
true false SOUTH WEST 213 170
true false WEST NORTH 213 170
true false NORTH SOUTH 213 170
true false SOUTH SOUTH 213 170
true false SOUTH SOUTH 213 170
true false SOUTH NORTH 213 170
true false NORTH WEST 213 170
true false WEST NORTH 212 180
true false NORTH WEST 212 180
true false WEST EAST 211 190
true false EAST NORTH 211 190
true false NORTH NORTH 211 190
true false NORTH NORTH 211 190
true false NORTH NORTH 211 190
true false NORTH WEST 211 190
true false WEST EAST 211 190
true false EAST WEST 211 190
true false WEST EAST 211 190
true false EAST WEST 211 190
true false WEST WEST 211 190
true false WEST WEST 210 200
true false WEST SOUTH 209 210
true false SOUTH WEST 209 210
true false WEST SOUTH 208 220
true false SOUTH SOUTH 208 220
true false SOUTH SOUTH 208 220
true false SOUTH NORTH 208 220
true false NORTH WEST 207 230
true false WEST SOUTH 206 240
true false SOUTH EAST 205 250
true false EAST EAST 205 250
true false EAST EAST 205 250
true false EAST EAST 205 250
true false EAST NORTH 205 250
true false NORTH EAST 205 250
true false EAST SOUTH 205 250
true false SOUTH WEST 205 250
true false WEST EAST 205 250
true false EAST SOUTH 205 250
true false SOUTH EAST 205 250
true false EAST EAST 205 250
true false EAST NORTH 205 250
true false NORTH EAST 205 250
true false EAST SOUTH 205 250
true false SOUTH WEST 205 250
true false WEST EAST 205 250
true false EAST WEST 205 250
true false WEST EAST 205 250
true false EAST WEST 205 250
true false WEST EAST 205 250
true false EAST SOUTH 205 250
true false SOUTH NORTH 205 250
true false NORTH WEST 205 250
true false WEST NORTH 205 250
true false NORTH WEST 205 250
true false WEST SOUTH 205 250
true false SOUTH SOUTH 205 250
true false SOUTH EAST 205 250
true false EAST NORTH 205 250
true false NORTH WEST 205 250
true false WEST WEST 205 250
true false WEST NORTH 205 250
true false NORTH EAST 205 250
true false EAST EAST 205 250
true false EAST SOUTH 205 250
true false SOUTH EAST 205 250
true false EAST EAST 205 250
true false EAST WEST 205 250
true false WEST EAST 205 250
