isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 230 0
true false WEST SOUTH 229 10
true false SOUTH SOUTH 229 10
true false SOUTH NORTH 229 10
true false NORTH WEST 229 10
true false WEST SOUTH 228 20
true false SOUTH NORTH 228 20
true false NORTH SOUTH 228 20
true false SOUTH EAST 228 20
true false EAST EAST 228 20
true false EAST EAST 228 20
true false EAST EAST 227 30
true false EAST NORTH 226 40
true false NORTH NORTH 226 40
true false NORTH SOUTH 226 40
true false SOUTH SOUTH 226 40
true false SOUTH SOUTH 226 40
true false SOUTH EAST 226 40
true false EAST EAST 225 50
true false EAST NORTH 224 60
true false NORTH EAST 224 60
true false EAST SOUTH 223 70
true false SOUTH NORTH 223 70
true false NORTH NORTH 222 80
true false NORTH NORTH 221 90
true false NORTH EAST 220 100
true false EAST SOUTH 219 110
true false SOUTH SOUTH 218 120
true false SOUTH NORTH 217 130
true false NORTH SOUTH 217 130
true false SOUTH NORTH 217 130
true false NORTH NORTH 217 130
true false NORTH NORTH 217 130
true false NORTH NORTH 217 130
true false NORTH WEST 217 130
true false WEST SOUTH 217 130
true false SOUTH SOUTH 217 130
true false SOUTH NORTH 217 130
true false NORTH NORTH 217 130
true false NORTH NORTH 217 130
true false NORTH SOUTH 216 140
true false SOUTH SOUTH 216 140
true false SOUTH WEST 216 140
true false WEST SOUTH 215 150
true false SOUTH NORTH 215 150
true false NORTH NORTH 214 160
true false NORTH NORTH 214 160
true false NORTH NORTH 214 160
true false NORTH WEST 214 160
true false WEST EAST 213 170
true false EAST SOUTH 213 170
true false SOUTH EAST 213 170
true false EAST WEST 213 170
true false WEST SOUTH 213 170
true false SOUTH SOUTH 213 170
true false SOUTH EAST 213 170
true false EAST EAST 213 170
true false EAST WEST 213 170
true false WEST WEST 213 170
true false WEST EAST 213 170
true false EAST SOUTH 213 170
true false SOUTH SOUTH 213 170
true false SOUTH WEST 213 170
true false WEST NORTH 213 170
true false NORTH EAST 213 170
true false EAST WEST 213 170
true false WEST EAST 213 170
true false EAST NORTH 213 170
true false NORTH WEST 213 170
true false WEST NORTH 213 170
true false NORTH WEST 213 170
true false WEST EAST 213 170
true false EAST WEST 213 170
true false WEST EAST 213 170
true false EAST EAST 213 170
true false EAST EAST 213 170
true false EAST WEST 213 170
true false WEST EAST 213 170
true false EAST EAST 213 170
true false EAST WEST 213 170
true false WEST NORTH 213 170
true false NORTH EAST 213 170
true false EAST NORTH 213 170
true false NORTH NORTH 213 170
true false NORTH EAST 213 170
true false EAST EAST 213 170
true false EAST NORTH 213 170
true false NORTH EAST 213 170
true false EAST WEST 213 170
true false WEST EAST 213 170
true false EAST WEST 213 170
true false WEST WEST 213 170
true false WEST WEST 213 170
true false WEST EAST 213 170
true false EAST WEST 213 170
true false WEST NORTH 213 170
true false NORTH WEST 213 170
true false WEST WEST 212 180
true false WEST NORTH 211 190
true false NORTH SOUTH 211 190
true false SOUTH NORTH 210 200
true false NORTH SOUTH 210 200
true false SOUTH WEST 210 200
true false WEST SOUTH 209 210
true false SOUTH SOUTH 209 210
true false SOUTH EAST 209 210
true false EAST NORTH 209 210
true false NORTH NORTH 209 210
true false NORTH SOUTH 209 210
true false SOUTH SOUTH 209 210
true false SOUTH SOUTH 209 210
true false SOUTH EAST 209 210
true false EAST SOUTH 208 220
true false SOUTH NORTH 208 220
true false NORTH SOUTH 208 220
true false SOUTH WEST 208 220
true false WEST WEST 208 220
true false WEST SOUTH 208 220
true false SOUTH EAST 208 220
true false EAST NORTH 208 220
true false NORTH SOUTH 208 220
true false SOUTH SOUTH 208 220
true false SOUTH EAST 208 220
true false EAST WEST 208 220
true false WEST SOUTH 208 220
true false SOUTH WEST 208 220
true false WEST WEST 208 220
true false WEST EAST 207 230
true false EAST SOUTH 207 230
true false SOUTH SOUTH 207 230
true false SOUTH EAST 207 230
true false EAST EAST 207 230
true false EAST WEST 207 230
true false WEST EAST 207 230
true false EAST SOUTH 207 230
true false SOUTH WEST 207 230
true false WEST SOUTH 207 230
true false SOUTH NORTH 207 230
true false NORTH EAST 207 230
true false EAST NORTH 207 230
true false NORTH NORTH 207 230
true false NORTH NORTH 207 230
true false NORTH EAST 207 230
true false EAST WEST 207 230
true false WEST NORTH 207 230
true false NORTH WEST 207 230
true false WEST EAST 207 230
true false EAST WEST 207 230
true false WEST NORTH 207 230
true false NORTH SOUTH 207 230
true false SOUTH SOUTH 207 230
true false SOUTH EAST 207 230
true false EAST NORTH 207 230
true false NORTH EAST 207 230
true false EAST SOUTH 207 230
true false SOUTH EAST 206 240
true false EAST WEST 206 240
true false WEST EAST 206 240
true false EAST NORTH 206 240
true false NORTH SOUTH 206 240
true false SOUTH SOUTH 206 240
true false SOUTH WEST 206 240
true false WEST EAST 206 240
true false EAST SOUTH 206 240
true false SOUTH EAST 206 240
true false EAST SOUTH 206 240
true false SOUTH NORTH 206 240
true false NORTH WEST 206 240
true false WEST WEST 206 240
true false WEST SOUTH 206 240
true false SOUTH SOUTH 206 240
true false SOUTH NORTH 206 240
true false NORTH NORTH 206 240
true false NORTH NORTH 206 240
true false NORTH NORTH 206 240
true false NORTH EAST 206 240
true false EAST EAST 206 240
true false EAST WEST 206 240
true false WEST NORTH 206 240
true false NORTH EAST 206 240
true false EAST NORTH 206 240
true false NORTH SOUTH 206 240
true false SOUTH EAST 206 240
true false EAST EAST 206 240
true false EAST NORTH 206 240
true false NORTH SOUTH 206 240
true false SOUTH NORTH 206 240
true false NORTH SOUTH 206 240
true false SOUTH SOUTH 206 240
true false SOUTH WEST 206 240
true false WEST NORTH 206 240
true false NORTH WEST 206 240
true false WEST NORTH 206 240
true false NORTH EAST 206 240
true false EAST WEST 206 240
true false WEST WEST 206 240
true false WEST NORTH 206 240
true false NORTH WEST 206 240
true false WEST WEST 206 240
true false WEST SOUTH 206 240
true false SOUTH NORTH 206 240
true false NORTH EAST 206 240
true false EAST NORTH 206 240
true false NORTH SOUTH 206 240
true false SOUTH WEST 206 240
true false WEST NORTH 206 240
true false NORTH WEST 206 240
true false WEST EAST 205 250
true false EAST NORTH 205 250
true false NORTH EAST 205 250
true false EAST EAST 205 250
true false EAST SOUTH 205 250
true false SOUTH WEST 205 250
true false WEST NORTH 205 250
true false NORTH NORTH 205 250
true false NORTH SOUTH 205 250
true false SOUTH WEST 205 250
true false WEST NORTH 205 250
true false NORTH EAST 205 250
true false EAST WEST 205 250
true false WEST NORTH 205 250
true false NORTH SOUTH 205 250
true false SOUTH SOUTH 205 250
true false SOUTH EAST 205 250
true false EAST EAST 205 250
true false EAST NORTH 205 250
true false NORTH WEST 205 250
true false WEST NORTH 205 250
true false NORTH NORTH 205 250
true false NORTH WEST 205 250
true false WEST NORTH 205 250
true false NORTH EAST 205 250
true false EAST SOUTH 205 250
true false SOUTH WEST 205 250
true false WEST EAST 205 250
true false EAST SOUTH 205 250
true false SOUTH SOUTH 205 250
true false SOUTH SOUTH 205 250
true false SOUTH SOUTH 205 250
true false SOUTH EAST 205 250
true false EAST NORTH 205 250
true false NORTH EAST 205 250
true false EAST WEST 205 250
true false WEST SOUTH 205 250
true false SOUTH WEST 205 250
true false WEST WEST 205 250
true false WEST SOUTH 205 250
true false SOUTH WEST 205 250
true false WEST SOUTH 205 250
true false SOUTH NORTH 205 250
true false NORTH SOUTH 205 250
true false SOUTH NORTH 205 250
true false NORTH NORTH 205 250
true false NORTH WEST 204 260
true false WEST WEST 204 260
true false WEST SOUTH 204 260
true false SOUTH EAST 204 260
true false EAST EAST 204 260
true false EAST EAST 204 260
true false EAST WEST 204 260
true false WEST SOUTH 204 260
true false SOUTH NORTH 204 260
true false NORTH SOUTH 204 260
true false SOUTH EAST 204 260
true false EAST SOUTH 204 260
true false SOUTH WEST 204 260
true false WEST NORTH 204 260
true false NORTH WEST 204 260
true false WEST EAST 204 260
true false EAST EAST 204 260
true false EAST EAST 204 260
true false EAST SOUTH 204 260
true false SOUTH NORTH 204 260
true false NORTH EAST 204 260
true false EAST WEST 204 260
true false WEST NORTH 204 260
