isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST SOUTH 230 0
true false SOUTH NORTH 229 10
true false NORTH NORTH 229 10
true false NORTH EAST 229 10
true false EAST NORTH 228 20
true false NORTH SOUTH 228 20
true false SOUTH SOUTH 228 20
true false SOUTH NORTH 228 20
true false NORTH NORTH 228 20
true false NORTH WEST 228 20
true false WEST EAST 228 20
true false EAST WEST 228 20
true false WEST EAST 228 20
true false EAST NORTH 228 20
true false NORTH EAST 228 20
true false EAST NORTH 227 30
true false NORTH WEST 227 30
true false WEST WEST 227 30
true false WEST EAST 227 30
true false EAST NORTH 227 30
true false NORTH WEST 227 30
true false WEST EAST 227 30
true false EAST NORTH 227 30
true false NORTH SOUTH 227 30
true false SOUTH WEST 227 30
true false WEST WEST 227 30
true false WEST NORTH 226 40
true false NORTH WEST 226 40
true false WEST SOUTH 225 50
true false SOUTH SOUTH 225 50
true false SOUTH EAST 225 50
true false EAST EAST 225 50
true false EAST SOUTH 225 50
true false SOUTH NORTH 225 50
true false NORTH EAST 225 50
true false EAST SOUTH 225 50
true false SOUTH SOUTH 225 50
true false SOUTH SOUTH 225 50
true false SOUTH WEST 225 50
true false WEST EAST 225 50
true false EAST EAST 225 50
true false EAST WEST 225 50
true false WEST WEST 225 50
true false WEST EAST 225 50
true false EAST EAST 225 50
true false EAST SOUTH 225 50
true false SOUTH EAST 225 50
true false EAST SOUTH 224 60
true false SOUTH EAST 224 60
true false EAST NORTH 223 70
true false NORTH SOUTH 223 70
true false SOUTH NORTH 223 70
true false NORTH WEST 223 70
true false WEST WEST 223 70
true false WEST NORTH 223 70
true false NORTH SOUTH 223 70
true false SOUTH WEST 223 70
true false WEST NORTH 223 70
true false NORTH EAST 223 70
true false EAST EAST 223 70
true false EAST NORTH 223 70
true false NORTH SOUTH 223 70
true false SOUTH NORTH 223 70
true false NORTH NORTH 223 70
true false NORTH EAST 223 70
true false EAST WEST 223 70
true false WEST WEST 223 70
true false WEST EAST 223 70
true false EAST EAST 223 70
true false EAST NORTH 223 70
true false NORTH EAST 223 70
true false EAST SOUTH 222 80
true false SOUTH EAST 222 80
true false EAST EAST 221 90
true false EAST NORTH 221 90
true false NORTH NORTH 220 100
true false NORTH NORTH 219 110
true false NORTH EAST 218 120
true false EAST SOUTH 218 120
true false SOUTH EAST 218 120
true false EAST SOUTH 218 120
true false SOUTH EAST 218 120
true false EAST NORTH 218 120
true false NORTH NORTH 218 120
true false NORTH WEST 218 120
true false WEST WEST 217 130
true false WEST EAST 216 140
true false EAST SOUTH 216 140
true false SOUTH EAST 215 150
true false EAST SOUTH 215 150
true false SOUTH WEST 215 150
true false WEST SOUTH 214 160
true false SOUTH EAST 214 160
true false EAST SOUTH 214 160
true false SOUTH NORTH 213 170
true false NORTH SOUTH 213 170
true false SOUTH NORTH 213 170
true false NORTH NORTH 213 170
true false NORTH EAST 213 170
true false EAST WEST 213 170
true false WEST WEST 213 170
true false WEST NORTH 213 170
true false NORTH NORTH 213 170
true false NORTH NORTH 213 170
true false NORTH NORTH 212 180
true false NORTH EAST 211 190
true false EAST SOUTH 210 200
true false SOUTH NORTH 210 200
true false NORTH EAST 210 200
true false EAST SOUTH 209 210
true false SOUTH WEST 209 210
true false WEST WEST 209 210
true false WEST EAST 209 210
true false EAST NORTH 209 210
true false NORTH EAST 209 210
true false EAST SOUTH 209 210
true false SOUTH NORTH 209 210
true false NORTH EAST 209 210
true false EAST WEST 208 220
true false WEST SOUTH 208 220
true false SOUTH SOUTH 208 220
true false SOUTH EAST 208 220
true false EAST NORTH 208 220
true false NORTH NORTH 207 230
true false NORTH NORTH 206 240
true false NORTH SOUTH 205 250
true false SOUTH NORTH 205 250
true false NORTH NORTH 205 250
true false NORTH NORTH 204 260
true false NORTH EAST 203 270
true false EAST SOUTH 202 280
true false SOUTH NORTH 201 290
true false NORTH SOUTH 201 290
true false SOUTH EAST 201 290
true false EAST SOUTH 200 300
true false SOUTH NORTH 199 310
true false NORTH NORTH 199 310
true false NORTH EAST 198 320
true false EAST NORTH 198 320
true false NORTH WEST 197 330
true false WEST SOUTH 197 330
true false SOUTH WEST 197 330
true false WEST EAST 197 330
true false EAST WEST 197 330
true false WEST SOUTH 197 330
true false SOUTH EAST 197 330
true false EAST NORTH 197 330
true false NORTH EAST 197 330
true false EAST SOUTH 197 330
true false SOUTH NORTH 197 330
true false NORTH EAST 197 330
true false EAST NORTH 197 330
true false NORTH NORTH 197 330
true false NORTH EAST 196 340
true false EAST EAST 196 340
true false EAST SOUTH 196 340
true false SOUTH EAST 196 340
true false EAST EAST 196 340
true false EAST NORTH 196 340
true false NORTH EAST 196 340
true false EAST NORTH 196 340
true false NORTH NORTH 195 350
true false NORTH NORTH 194 360
true false NORTH NORTH 193 370
true false NORTH WEST 193 370
true false WEST EAST 192 380
true false EAST NORTH 192 380
true false NORTH EAST 192 380
true false EAST NORTH 192 380
true false NORTH SOUTH 192 380
true false SOUTH NORTH 192 380
true false NORTH NORTH 192 380
true false NORTH SOUTH 192 380
true false SOUTH WEST 192 380
true false WEST SOUTH 192 380
true false SOUTH WEST 192 380
true false WEST NORTH 192 380
true false NORTH SOUTH 192 380
true false SOUTH EAST 192 380
true false EAST EAST 192 380
true false EAST EAST 192 380
true false EAST SOUTH 192 380
true false SOUTH NORTH 192 380
true false NORTH EAST 192 380
true false EAST EAST 192 380
true false EAST EAST 192 380
true false EAST EAST 192 380
true false EAST SOUTH 192 380
true false SOUTH NORTH 192 380
true false NORTH NORTH 192 380
true false NORTH EAST 192 380
true false EAST NORTH 192 380
true false NORTH NORTH 192 380
true false NORTH NORTH 192 380
true false NORTH NORTH 192 380
true false NORTH SOUTH 192 380
true false SOUTH SOUTH 192 380
true false SOUTH WEST 192 380
true false WEST EAST 192 380
true false EAST WEST 192 380
true false WEST WEST 192 380
true false WEST WEST 192 380
true false WEST NORTH 192 380
